aid	title_google	title_onlinedoc	title_deepl
122436	1000-year-old oak broken collapsed at Altenrath 	1000-year-old oak collapsed near Altenrath	1000-year-old oak tree near Altenrath collapsed
122437	"TV commissioner to ""crime scene"" criticism: ""blow in the face"" "	"TV commissioner on ""crime scene"" criticism: ""slap in the face"""	"TV commissioner on ""Tatort"" criticism: ""Punch in the face"""
122438	Denmark stops record world champion France 	Denmark stops record world champions France	Denmark stops record world champion France
122439	Man fishes Gerhard Richter's art from the garbage 	Man fishes Gerhard Richter's art out of the garbage	Man fishes Gerhard Richter's art out of the trash
122440	300 guests celebrate the 50th birthday of the Rhine-Sieg-Kreis 	300 guests celebrate the 50th birthday of the Rhein-Sieg district	300 guests celebrate the 50th birthday of the Rhine-Sieg district
122442	Cologne rises to the third league 	Cologne is relegated to the third division	Cologne relegated to the Third League
122443	DHB team fails in the semi-finals at strong Norwegians 	DHB team fails in the semifinals due to strong Norwegians	DHB team fails in semifinals against strong Norwegians
122444	Wholesaling words of Salas Sister and Lionel Messi 	Pleading words from Sala's sister and Lionel Messi	Pleading words from Sala's sister and Lionel Messi
122446	"Trump announces the end of the ""shutdown"" "	"Trump announces the end of the ""shutdown"""	Trump announces end to 'shutdown'
122447	WhatsApp, Instagram and Facebook should be networked 	WhatsApp, Instagram and Facebook are to be networked	WhatsApp, Instagram and Facebook to be networked
122448	Trainer Kaczmarek over the relegation battle and adventure with Mo Salah 	Coach Kaczmarek on the relegation battle and adventure with Mo Salah	Coach Kaczmarek on the relegation battle and adventures with Mo Salah
122449	Bavarian Film Prize for Hape Cerkeling Film 	Bavarian film award for Hape Kerkeling film	Bavarian Film Award for Hape Kerkeling film
122450	"Author Takis Sagger defends novel ""Stella"" "	"Author Takis Würger defends novel ""Stella"""	"Author Takis Würger defends novel ""Stella"
122451	Climate demo excuses not missing at school 	Climate demo does not excuse absence from school	Climate demo does not excuse absence from school
122452	Schott and Weinzierl can not convince with EM 	Schott and Weinzierl cannot convince at EM	Schott and Weinzierl fail to convince at European Championship
122454	Hundreds missed after dam break in Brazil 	Hundreds of people missing after a dam break in Brazil	Hundreds missing after dam burst in Brazil
122455	Gold dream finished: German handball players miss World Cup final 	Gold dream ended: German handball players miss the World Cup final	Gold dream ended: German handball players miss World Cup final
122456	Ex-US Secretary of Foreign Minister meets veteran for tire breakdown 	Ex-US Secretary of State meets veteran in a flat tire	Ex-U.S. secretary of state meets veteran in blowout
122457	Trump directs in household dispute and finished shutdown 	Trump gives in in the budget dispute and ends the shutdown	Trump relents in budget dispute and ends shutdown
122458	Schalke after two-time guided tour 2: 2 at Hertha BSC 	Schalke after two lead 2-2 at Hertha BSC	Schalke 2-2 at Hertha BSC after leading twice
122459	Gas exit: fire department finds unconscious couple 	Gas leak: the fire brigade finds an unconscious couple	Gas leak: fire department finds unconscious couple
122460	Manchester United defeats Arsenal in the FA Cup 3: 1 	Manchester United defeated Arsenal 3-1 in the FA Cup	Manchester United defeats Arsenal 3:1 in the FA Cup
122461	Balotelli debut of incident overshadowed in Marseille 	Balotelli's debut overshadowed by incident in Marseille	Balotelli debut overshadowed by incident in Marseille
122462	SMEs can benefit 	Medium-sized companies can benefit	Medium-sized companies can profit
122463	The magic of jazz drums 	The magic of jazz drums	The magic of jazz drums
122464	Digital is better 	Digital is better	Digital is better
122466	Teddy Prize for Director Falk Richter 	Teddy Prize for director Falk Richter	Teddy Award for director Falk Richter
122468	Top teams against relegation candidates and hope for Europe 	Top teams against relegation candidates and hope for Europe	Top teams against relegation candidates and hope for Europe
122469	Cleaning up happy - is that really true for everyone? 	Cleaning up makes you happy - is that really true for everyone?	Tidying up makes you happy - is that really true for everyone?
122470	Comfort price instead of title: DHB team plays around World Cup bronze 	Consolation prize instead of title: DHB team plays for bronze medal	Consolation prize instead of title: DHB team plays for World Cup bronze medal
122472	"""Then I'm happy"": Tedesco's desire for transfers "	“Then I'm happy”: Tedesco's wish for transfers	"""Then I'm happy"": Tedesco's wish for transfers"
122473	Maradona is back in Mexico after stomach surgery 	Maradona is back in Mexico after gastric surgery	Maradona is back in Mexico after stomach surgery
122474	Cardiology in the Maria Help Hospital has new chief physician 	Cardiology at the Maria-Hilf-Hospital has a new head physician	Cardiology at Maria-Hilf-Krankenhaus has new head physician
122475	Wachendorf grows towards Antweiler and Lessenich 	Wachendorf grows in the direction of Antweiler and Lessenich	Wachendorf grows in the direction of Antweiler and Lessenich
122477	Unemployed Zandrians trained for job search - big frustration 	Unemployed Zandrians trained to look for a job - great frustration	Unemployed Zandrians trained for job search - great frustration
122478	Exhibition about the history of medicine crime 	Exhibition on the history of medical crimes	Exhibition on the history of medical crimes
122479	"Takis sawers about his bestseller ""Stella"" "	"Takis Würger on his bestseller ""Stella"""	"Takis Würger on his bestseller ""Stella"
122480	No black Friday for Kaufhof 	Not a completely black Friday for Kaufhof	Not quite a black Friday for Kaufhof
122481	Modest threatens Tianjin on Instagram 	Modeste threatens Tianjin on Instagram	Modeste threatens Tianjin on Instagram
122482	Chris Rastet, Yotta howl - finalists are fixed 	Chris freaks out, Yotta howls - finalists have been chosen	Chris freaks out, Yotta cries - finalists are determined
122483	Jungle Camp: The finalists are fixed 	Jungle camp: the finalists have been chosen	Dschungelcamp: The finalists are determined
122484	Lost assignment in Cologne should become more transparent 	Allocation of posts in Cologne should become more transparent	Allocation of positions in Cologne to become more transparent
122485	Environmental associations: The Hambacher Forst is rescued 	Environmental associations: The Hambach Forest has been saved	Environmental associations: Hambach Forest is saved
122486	Teenagers rolled over by train - police arrest suspects 	Youngsters run over by train - police arrest suspects	Teen run over by train - police arrest suspects
122487	Tote and injured in snow and street smoothing 	Dead and injured in snow and slippery roads	Deaths and injuries in snow and slippery roads
122488	Pussy Riot: Putin introduces invisible war against the people 	Pussy Riot: Putin is waging invisible war against the people	Pussy Riot: Putin wages invisible war against the people
122489	The crowning degree in Australia: Djokovic against Nadal 	The crowning glory in Australia: Djokovic against Nadal	The crowning finale in Australia: Djokovic against Nadal
122490	Cologne police go against rockers again 	Cologne police take action against rockers again	Cologne police take action against rockers again
122491	Outing in the job is still difficult for many employees 	Outing on the job is still difficult for many employees	Outing on the job is still difficult for many employees
122492	"DIW boss: ""We have to get away from alarmism"" "	"DIW boss: ""We have to get away from alarmism"""	"DIW head: ""We must move away from alarmism""."
122493	"""So Kölsch as currently the carnival had never been"" "	"""Carnival has never been as Cologne as it is now"""	"""Carnival has never been as Cologne as it is at the moment""."
122494	28-year-old saves himself in front of fire and is seriously injured 	28-year-old saved himself from fire and was seriously injured	28-year-old man saves himself from fire and is seriously injured
122495	Mobility concept starts - Rail freely for the cyclists 	Mobility concept starts - clear the way for cyclists	Mobility concept starts - clear the way for cyclists
122496	The telephone booth says soft bye 	The phone booth says goodbye softly	The phone booth says goodbye quietly
122497	24-year-old seriously injured in accident in Hennef 	24-year-old seriously injured in an accident in Hennef	24-year-old seriously injured in accident in Hennef
122499	"Pope to abuse: also church people are ""unscrupulous"" "	"Pope on abuse: Church people are also ""unscrupulous"""	"Pope on abuse: Churchmen are ""unscrupulous"" too"
122500	French composer Michel Legrand with 86 died 	French composer Michel Legrand died at 86	French composer Michel Legrand dead at 86
122501	Senior nurser trumps the stars with strikers 	Geriatric nurse trumps the stars with hits	Nurse for the elderly trumps the stars with hits
122502	Alligatoah says concert in Cologne 	Alligatoah cancels concert in Cologne	Alligatoah cancels concert in Cologne
122503	IPC pulls around - Sridharan shows up pleased 	IPC is moving - Sridharan is pleased	IPC moves - Sridharan is delighted
122504	Photo exhibition in Bensberg opens on Sunday 	Photo exhibition in Bensberg opens on Sunday	Photo exhibition in Bensberg opens on Sunday
122505	"The ""art"" of the buddies on the track "	On the trail of the “art” of the buddies	"On the trail of the ""art"" of the miners"
